-8.916,-504.874
-13.958,-503.124
-18.979,-500.538
-23.969,-497.121
-28.921,-492.881
-33.827,-487.826
-38.677,-481.961
-43.466,-475.294
-48.183,-467.837
-52.822,-459.607
-57.375,-450.629
-61.835,-440.932
-66.194,-430.545
-70.446,-419.502
-74.584,-407.833
-78.603,-395.570
-82.496,-382.741
-86.257,-369.370
-89.883,-355.481
-93.367,-341.093
-96.705,-326.223
-99.892,-310.883
-102.923,-295.088
-105.793,-278.847
-108.499,-262.176
-111.037,-245.089
-113.401,-227.606
-115.589,-209.748
-117.596,-191.538
-119.420,-173.000
-121.056,-154.159
-122.503,-135.042
-123.757,-115.676
-124.816,-96.091
-125.679,-76.318
-126.343,-56.389
-126.807,-36.337
-127.069,-16.196
-127.131,4.002
-126.989,24.222
-126.646,44.426
-126.101,64.576
-125.355,84.632
-124.408,104.548
-123.264,124.278
-121.923,143.774
-120.388,162.990
-118.663,181.885
-116.750,200.422
-114.654,218.578
-112.379,236.332
-109.928,253.673
-107.305,270.589
-104.516,287.067
-101.564,303.095
-98.454,318.655
-95.191,333.726
-91.780,348.286
-88.225,362.312
-84.533,375.791
-80.709,388.711
-76.759,401.070
-72.688,412.863
-68.502,424.079
-64.206,434.703
-59.808,444.706
-55.312,454.056
-50.727,462.721
-46.058,470.669
-41.313,477.876
-36.500,484.323
-31.627,489.992
-26.701,494.866
-21.730,498.927
-16.722,502.153
-11.686,504.525
-6.632,506.031
-1.566,506.664
3.502,506.429
8.563,505.334
13.608,503.394
18.631,500.621
23.621,497.033
28.571,492.642
33.474,487.459
38.320,481.492
43.104,474.750
47.815,467.244
52.448,458.992
56.995,450.015
61.449,440.335
65.802,429.982
70.048,418.982
74.182,407.366
78.196,395.161
82.085,382.390
85.844,369.077
89.466,355.241
92.948,340.905
96.284,326.087
99.470,310.804
102.501,295.071
105.372,278.905
108.079,262.319
110.618,245.331
112.985,227.956
115.177,210.212
117.190,192.119
119.019,173.700
120.664,154.980
122.119,135.987
123.383,116.752
124.454,97.304
125.329,77.675
126.008,57.896
126.487,37.998
126.767,18.012
126.847,-2.031
126.727,-22.097
126.406,-42.151
125.884,-62.154
125.162,-82.065
124.243,-101.841
123.126,-121.441
121.814,-140.820
120.309,-159.936
118.615,-178.751
116.734,-197.228
114.670,-215.342
112.427,-233.072
110.009,-250.406
107.419,-267.332
104.662,-283.841
101.742,-299.917
98.664,-315.542
95.432,-330.692
92.050,-345.340
88.525,-359.461
84.861,-373.036
81.064,-386.050
77.140,-398.494
73.094,-410.360
68.933,-421.636
64.661,-432.307
60.287,-442.349
55.815,-451.735
51.252,-460.437
46.606,-468.433
41.883,-475.705
37.092,-482.240
32.238,-488.029
27.331,-493.059
22.377,-497.316
17.385,-500.781
12.362,-503.433
7.316,-505.256
2.257,-506.236
-2.809,-506.368
-7.871,-505.652
-12.922,-504.093
-17.953,-501.698
-22.956,-498.473
-27.922,-494.422
-32.844,-489.548
-37.713,-483.856
-42.521,-477.351
-47.260,-470.042
-51.922,-461.947
-56.499,-453.088
-60.984,-443.496
-65.369,-433.205
-69.648,-422.249
-73.814,-410.661
-77.861,-398.476
-81.783,-385.722
-85.576,-372.426
-89.232,-358.612
-92.748,-344.300
-96.118,-329.506
-99.338,-314.247
-102.403,-298.535
-105.309,-282.385
-108.051,-265.809
-110.625,-248.816
-113.027,-231.421
-115.253,-213.641
-117.300,-195.497
-119.163,-177.014
-120.840,-158.218
-122.327,-139.137
-123.623,-119.799
-124.723,-100.235
-125.627,-80.479
-126.333,-60.562
-126.839,-40.518
-127.143,-20.379
-127.246,-0.179
-127.147,20.048
-126.845,40.264
-126.342,60.431
-125.637,80.508
-124.732,100.452
-123.628,120.218
-122.327,139.762
-120.832,159.041
-119.146,178.013
-117.272,196.643
-115.213,214.903
-112.974,232.771
-110.558,250.229
-107.970,267.262
-105.213,283.860
-102.292,300.009
-99.213,315.692
-95.978,330.889
-92.595,345.575
-89.067,359.729
-85.400,373.334
-81.600,386.382
-77.673,398.869
-73.623,410.791
-69.457,422.137
-65.180,432.891
-60.799,443.031
-56.320,452.524
-51.748,461.337
-47.093,469.438
-42.360,476.801
-37.557,483.404
-32.692,489.229
-27.772,494.259
-22.806,498.477
-17.803,501.866
-12.769,504.408
-7.715,506.091
-2.647,506.906
2.424,506.857
7.490,505.953
12.543,504.206
17.574,501.630
22.575,498.240
27.539,494.047
32.456,489.060
37.320,483.285
42.122,476.732
46.855,469.406
51.510,461.320
56.081,452.492
60.560,442.944
64.940,432.705
69.214,421.805
